X	Y
0	78.2000
1	78.5714
2	78.6571
3	78.1571
4	79.3000
5	79.1000
6	78.6857
7	79.3571
8	79.1429
9	78.4571
10	79.1143
11	78.5571
12	77.8286
13	78.1571
14	78.9429
15	80.5143
16	80.8286
17	80.4143
18	80.6714
19	80.1429
20	80.5429
21	80.9143
22	82.0143
23	81.4143
24	81.3714
25	81.4571
26	81.5429
27	81.8571
28	82.2429
29	83.0286
30	83.6000
31	83.4857
32	84.2714
33	84.8857
34	85.7000
35	86.5571
36	88.5286
37	90.5571
38	94.7286
39	97.7857
40	102.5000
41	108.4714
42	115.0571
43	121.2143
44	128.9429
45	138.1714
46	146.3000
47	153.5286
48	159.0714
49	164.5143
50	167.4857
51	171.4714
52	169.8714
53	166.3714
54	159.1286
55	146.1286
56	124.4429
57	100.0429
58	85.4571
59	81.7714
60	79.3857
61	80.5571
62	80.6429
63	81.9429
64	82.7000
65	82.9714
66	84.4429
67	85.4429
68	88.6000
69	91.3143
70	95.2857
71	97.9000
72	101.6286
73	106.5000
74	107.5000
75	110.7857
76	112.6286
77	113.0000
78	112.7857
79	108.0000
80	103.1143
81	93.7857
82	85.9429
83	82.2286
84	80.6429
85	79.4286
86	79.1429
87	79.4429
88	79.2571
89	79.0429
90	80.1714
91	79.2857
92	80.0143
93	81.0429
94	80.3857
95	80.3286
96	79.2714
97	80.4857
98	79.5143
99	79.9857
100	79.8857
101	81.2571
102	81.8143
103	82.7714
104	81.3429
105	82.3286
106	80.5857
107	82.5286
108	80.7000
109	81.6429
110	81.7429
111	82.8143
112	82.7000
113	82.8714
114	83.6000
115	83.1714
116	85.2857
117	85.8714
118	86.6429
119	86.2714
120	87.1143
121	85.8857
122	85.5857
123	84.9429
124	83.7000
125	81.9857
126	81.1571
127	80.1429
128	79.4286
129	78.4000
130	78.1714
131	78.2857
132	78.5429
133	78.6429
134	77.8857
135	77.6714
136	78.2571
137	79.3857
138	79.7143
139	79.7000
140	79.7429
141	80.1857
142	79.8429
143	79.2571
144	79.5429
145	79.9286
146	80.9571
147	81.5857
148	81.6286
149	82.2571
150	83.0571
151	84.2857
152	85.3857
153	85.4286
154	85.7429
155	86.7286
156	86.0000
157	85.6857
158	85.5714
159	85.0143
160	83.4857
161	82.9143
162	80.8857
163	80.7429
164	79.4714
165	78.0429
166	78.4143
167	77.4286
168	79.3571
169	77.8143
170	78.2714
171	78.5286
172	78.2429
173	78.1429
174	78.4000
175	77.8286
176	77.9429
177	78.9571
178	77.2286
179	77.4571
180	78.1571
181	78.7286
182	78.4714
183	77.1571
184	77.2714
185	77.5571
186	76.3286
187	77.0143
188	76.5143
189	77.5000
190	77.1286
191	76.6286
192	77.6857
193	77.3286
194	76.4714
195	77.2143
196	77.0857
197	77.7286
198	77.9000
199	77.3571
200	78.1143
