X	Y
0	83.029
1	82.671
2	82.886
3	82.957
4	81.086
5	81.686
6	84.343
7	83.400
8	82.743
9	81.971
10	81.500
11	83.571
12	83.014
13	83.643
14	83.857
15	83.357
16	83.629
17	83.400
18	83.571
19	84.000
20	83.586
21	84.386
22	85.343
23	85.114
24	84.743
25	85.957
26	86.086
27	86.400
28	86.814
29	87.271
30	88.357
31	89.386
32	90.714
33	90.500
34	92.114
35	95.543
36	97.486
37	101.243
38	104.900
39	110.571
40	116.543
41	123.900
42	133.114
43	144.100
44	151.257
45	161.871
46	172.929
47	182.271
48	190.143
49	196.457
50	202.171
51	204.929
52	205.471
53	198.029
54	186.529
55	163.957
56	131.786
57	102.314
58	88.400
59	84.586
60	85.129
61	85.529
62	85.729
63	87.186
64	86.314
65	89.714
66	90.900
67	94.471
68	97.286
69	101.529
70	107.100
71	112.214
72	118.800
73	123.629
74	127.400
75	131.243
76	133.086
77	131.229
78	126.871
79	118.429
80	106.514
81	95.786
82	87.314
83	84.700
84	82.957
85	82.800
86	83.214
87	83.457
88	81.629
89	82.771
90	81.757
91	83.257
92	82.457
93	83.500
94	83.457
95	83.071
96	82.929
97	82.829
98	84.400
99	83.986
100	83.914
101	86.000
102	86.557
103	85.629
104	85.414
105	84.400
106	83.443
107	83.114
108	84.100
109	83.986
110	84.557
111	85.371
112	86.014
113	85.757
114	85.471
115	87.200
116	88.500
117	88.586
118	88.871
119	88.329
120	87.729
121	85.543
122	85.629
123	86.243
124	83.843
125	83.643
126	81.971
127	82.029
128	81.643
129	81.786
130	81.929
131	81.386
132	80.471
133	81.800
134	81.800
135	80.529
136	81.343
137	80.600
138	81.757
139	80.586
140	82.371
141	83.771
142	82.743
143	83.357
144	83.514
145	84.143
146	84.614
147	84.771
148	85.371
149	86.443
150	85.600
151	87.229
152	86.614
153	85.757
154	85.043
155	83.443
156	83.829
157	83.743
158	82.043
159	82.171
160	81.629
161	80.929
162	81.129
163	80.829
164	80.971
165	80.243
166	80.629
167	80.386
168	80.814
169	80.586
170	80.686
171	81.143
172	79.743
173	79.929
174	79.714
175	79.643
176	80.471
177	79.414
178	79.443
179	79.771
180	80.614
181	79.500
182	79.400
183	79.614
184	80.857
185	78.771
186	80.171
187	80.271
188	79.043
189	79.871
190	78.629
191	79.743
192	80.171
193	79.843
194	79.543
195	79.757
196	79.557
197	79.429
198	79.429
199	78.629
200	78.629
