X	Y
0	77.970
1	78.746
2	78.910
3	78.552
4	79.925
5	79.567
6	78.567
7	78.493
8	79.940
9	79.418
10	80.522
11	81.537
12	79.418
13	79.866
14	78.896
15	79.985
16	80.239
17	78.254
18	80.955
19	79.910
20	80.478
21	79.761
22	80.209
23	82.761
24	83.313
25	82.060
26	80.597
27	82.716
28	82.687
29	82.403
30	82.463
31	83.284
32	83.940
33	83.642
34	83.119
35	83.896
36	85.060
37	85.373
38	86.149
39	87.239
40	88.746
41	89.478
42	93.567
43	96.657
44	102.343
45	109.642
46	117.358
47	125.970
48	138.045
49	148.463
50	158.910
51	167.388
52	178.985
53	186.582
54	194.224
55	200.269
56	202.716
57	205.254
58	197.612
59	183.045
60	153.567
61	115.104
62	92.612
63	84.746
64	84.716
65	81.075
66	84.284
67	85.537
68	85.672
69	88.179
70	88.985
71	92.179
72	94.806
73	97.687
74	100.343
75	104.701
76	108.448
77	112.060
78	114.075
79	116.657
80	117.313
81	115.478
82	109.567
83	104.806
84	96.448
85	91.418
86	87.791
87	85.090
88	85.448
89	84.224
90	84.015
91	84.731
92	83.731
93	82.358
94	81.806
95	82.881
96	80.313
97	81.806
98	81.060
99	81.940
100	80.806
101	81.164
102	80.791
103	82.284
104	81.343
105	82.269
106	82.522
107	82.627
108	82.164
109	82.821
110	82.791
111	80.328
112	81.955
113	82.448
114	81.194
115	82.970
116	84.910
117	85.149
118	85.358
119	84.925
120	85.672
121	86.104
122	86.269
123	83.851
124	84.194
125	83.582
126	82.299
127	81.925
128	82.269
129	79.731
130	79.463
131	80.448
132	80.597
133	78.597
134	80.149
135	79.463
136	79.731
137	81.254
138	81.179
139	82.582
140	78.985
141	79.851
142	79.955
143	80.478
144	81.254
145	79.940
146	81.328
147	79.299
148	80.224
149	80.731
150	81.985
151	80.134
152	80.910
153	81.119
154	82.896
155	81.701
156	81.030
157	81.776
158	82.209
159	80.269
160	79.806
161	80.075
162	78.776
163	79.507
164	80.418
165	81.403
166	79.627
167	79.746
168	80.194
169	77.970
170	78.985
171	79.642
172	80.552
173	77.896
174	79.761
175	79.657
176	78.104
177	80.328
178	79.269
179	78.776
180	80.209
181	79.821
182	80.418
183	81.299
184	79.209
185	80.448
186	80.119
187	79.418
188	78.866
189	79.582
190	78.642
191	77.806
192	78.612
193	79.299
194	80.507
195	79.612
196	79.104
197	79.299
198	80.806
199	80.284
200	79.701
