X	Y
0	70.2500
1	69.8333
2	70.0000
3	70.1111
4	69.5417
5	70.0139
6	69.0000
7	69.8194
8	69.2778
9	70.4167
10	69.9306
11	70.3889
12	70.5556
13	70.1250
14	70.8611
15	70.4028
16	70.1389
17	70.0833
18	71.5417
19	72.5694
20	73.9861
21	71.8889
22	70.1528
23	70.7361
24	71.3472
25	71.4306
26	72.5556
27	71.3333
28	72.0000
29	72.7917
30	71.9444
31	72.9444
32	73.4167
33	73.9722
34	74.6111
35	74.5417
36	76.3472
37	77.3194
38	79.5833
39	81.1944
40	83.1944
41	87.5000
42	91.0556
43	94.6389
44	101.1389
45	105.1389
46	110.7917
47	116.2222
48	122.0278
49	126.6944
50	130.2778
51	134.4306
52	136.4722
53	137.5972
54	137.5278
55	135.0833
56	129.0278
57	119.2083
58	105.2222
59	89.0000
60	77.9583
61	73.7917
62	72.5417
63	72.3056
64	72.7639
65	72.3056
66	73.2778
67	73.9167
68	75.4583
69	77.2778
70	77.2222
71	79.8194
72	82.3472
73	84.3611
74	87.7778
75	90.3611
76	92.9583
77	96.2639
78	97.7222
79	100.6250
80	100.0417
81	98.8333
82	95.9722
83	88.6667
84	83.6111
85	78.5694
86	76.4722
87	74.2222
88	72.9861
89	73.4167
90	72.3056
91	71.5000
92	72.5833
93	73.0972
94	72.0972
95	73.3056
96	72.9861
97	72.9306
98	72.6111
99	72.6944
100	73.5278
101	73.5000
102	74.1667
103	74.1111
104	74.6528
105	73.7361
106	73.8194
107	74.4444
108	75.4861
109	74.4861
110	75.2917
111	75.4861
112	75.3611
113	74.3889
114	75.3194
115	74.5278
116	76.2361
117	75.8472
118	77.4722
119	77.0972
120	78.1944
121	78.3611
122	77.0556
123	77.3056
124	76.3194
125	76.3333
126	74.9861
127	74.6250
128	73.6944
129	72.6528
130	72.4861
131	72.5694
132	71.0833
133	71.9583
134	71.8889
135	71.3194
136	71.7083
137	71.7778
138	72.5139
139	71.9861
140	72.3611
141	72.5417
142	71.9583
143	71.9722
144	72.8750
145	71.7917
146	71.8611
147	72.5972
148	72.2639
149	73.3472
150	73.6944
151	73.6528
152	74.7778
153	74.7222
154	75.0000
155	75.6944
156	75.5417
157	75.5694
158	75.1389
159	73.8889
160	73.6667
161	74.0694
162	73.7917
163	72.9861
164	73.6389
165	72.9444
166	72.6250
167	72.2778
168	71.4306
169	70.7639
170	70.9722
171	71.2639
172	71.2500
173	71.6806
174	70.5694
175	71.4028
176	72.2778
177	71.0417
178	71.5417
179	71.0139
180	71.2361
181	71.4028
182	71.6806
183	71.4722
184	70.6528
185	71.4444
186	71.4583
187	71.7361
188	70.5278
189	71.2500
190	71.3056
191	70.1944
192	70.7778
193	71.5000
194	70.9861
195	71.3333
196	71.1806
197	70.3333
198	71.2639
199	70.0972
200	71.0417
