X	Y
0	108.0667
1	107.6833
2	107.8333
3	108.8000
4	107.8667
5	109.3500
6	109.6000
7	109.3833
8	109.4000
9	109.7833
10	107.9333
11	109.0500
12	108.9167
13	108.5167
14	109.0333
15	107.4833
16	109.3833
17	108.3000
18	109.6000
19	109.6500
20	110.0333
21	110.2333
22	110.5000
23	110.4000
24	109.5667
25	110.8500
26	110.8333
27	110.0000
28	109.9167
29	110.6000
30	110.8333
31	110.5500
32	110.3333
33	110.4500
34	110.2000
35	110.5333
36	111.1167
37	110.5333
38	111.7833
39	111.8000
40	112.7667
41	112.8667
42	114.8833
43	115.0667
44	118.1500
45	119.8833
46	123.6333
47	127.6000
48	131.0167
49	135.6667
50	141.1000
51	146.3333
52	152.3667
53	156.2833
54	161.4667
55	164.8833
56	165.9333
57	165.7500
58	161.7500
59	154.5167
60	143.3000
61	131.1667
62	119.2333
63	114.3167
64	113.9833
65	112.9333
66	112.4167
67	113.1333
68	113.8833
69	113.7833
70	114.7667
71	114.5667
72	117.1333
73	117.6000
74	119.2333
75	120.5667
76	121.6833
77	122.6667
78	123.0333
79	123.2000
80	121.7833
81	121.6000
82	119.5333
83	118.5333
84	115.7333
85	114.2333
86	114.2000
87	113.9167
88	112.9833
89	112.9833
90	111.6500
91	111.9333
92	111.8333
93	112.2333
94	113.2667
95	113.1500
96	112.4167
97	112.0000
98	112.0833
99	112.5333
100	112.6500
101	113.5500
102	114.3500
103	113.4333
104	113.6500
105	112.9667
106	114.7333
107	114.2500
108	113.3333
109	114.2667
110	114.3500
111	114.7667
112	116.4500
113	115.9667
114	116.7500
115	117.8333
116	118.7667
117	120.2167
118	121.9333
119	121.2833
120	121.7500
121	122.1000
122	121.8000
123	121.3167
124	119.0167
125	118.3833
126	115.8333
127	116.1333
128	114.1167
129	113.2833
130	113.6833
131	113.5333
132	112.8000
133	112.7167
134	113.1667
135	114.1667
136	113.4833
137	113.3667
138	113.6833
139	114.9167
140	113.7833
141	115.2833
142	114.5167
143	115.0167
144	114.3833
145	114.4333
146	115.1333
147	115.3833
148	114.8667
149	115.4500
150	115.4333
151	116.7000
152	116.8333
153	118.1167
154	116.9000
155	117.5000
156	117.5333
157	117.2167
158	116.5167
159	116.2000
160	115.0667
161	115.4333
162	114.7500
163	113.5667
164	114.4167
165	114.4167
166	114.9333
167	114.2667
168	115.0833
169	114.5333
170	114.5333
171	113.3167
172	115.1167
173	112.9167
174	113.2000
175	115.3000
176	114.1833
177	115.1000
178	114.0833
179	113.4333
180	114.1333
181	114.4167
182	114.2333
183	114.4333
184	113.9333
185	114.0333
186	113.5167
187	112.8500
188	113.0500
189	112.8000
190	113.2833
191	114.0167
192	113.9167
193	113.4833
194	113.1000
195	112.7167
196	113.4833
197	114.4000
198	113.1333
199	113.1500
200	112.7833
