X	Y
0	110.3443
1	109.5574
2	109.0820
3	110.6885
4	110.0984
5	109.6393
6	110.1803
7	110.6066
8	109.7377
9	109.3279
10	108.9508
11	109.7377
12	109.9344
13	110.1148
14	110.4098
15	110.2131
16	110.0164
17	110.2131
18	110.5410
19	110.6066
20	110.2623
21	110.4754
22	110.6393
23	110.6557
24	111.4426
25	111.0000
26	111.0656
27	111.8525
28	111.3934
29	111.5410
30	111.5738
31	111.9180
32	111.8033
33	111.7049
34	111.8525
35	111.9836
36	111.0984
37	112.0492
38	111.5082
39	114.2951
40	112.2459
41	114.4098
42	116.2131
43	116.2951
44	117.4754
45	121.2623
46	123.7213
47	127.5574
48	131.3770
49	137.6557
50	142.1475
51	147.3607
52	154.0984
53	159.5246
54	164.4262
55	167.2459
56	169.1475
57	169.5738
58	166.9344
59	159.8689
60	147.9508
61	134.9344
62	123.7377
63	116.9180
64	112.6885
65	111.9344
66	111.7049
67	111.2951
68	112.7705
69	113.3443
70	114.4754
71	115.2131
72	116.2951
73	117.7377
74	119.0656
75	122.1311
76	122.6721
77	125.1311
78	125.6393
79	125.0492
80	124.0820
81	124.4590
82	119.6557
83	118.1311
84	115.8033
85	114.4262
86	113.6229
87	112.6229
88	112.9016
89	111.9672
90	112.8689
91	112.9344
92	113.4918
93	113.0492
94	113.3279
95	113.2295
96	113.1475
97	113.1311
98	113.3115
99	113.1148
100	113.5902
101	113.4426
102	112.9836
103	113.6721
104	113.8525
105	113.6229
106	113.7705
107	113.4426
108	113.4098
109	113.2787
110	114.6066
111	114.2459
112	115.0492
113	115.2623
114	116.7869
115	117.4098
116	119.0000
117	120.1967
118	121.7213
119	121.8361
120	122.5082
121	122.6229
122	121.7213
123	121.8852
124	119.7541
125	118.1639
126	117.0164
127	115.1639
128	113.8197
129	112.6721
130	112.2623
131	111.5738
132	112.5902
133	112.7049
134	112.1148
135	112.7869
136	113.8197
137	113.6393
138	111.8361
139	112.1803
140	113.4426
141	112.4590
142	112.6885
143	112.6557
144	113.7213
145	113.3115
146	113.0984
147	113.7213
148	113.3279
149	114.2623
150	115.0492
151	115.5574
152	114.7705
153	114.8852
154	115.9180
155	116.0164
156	115.2787
157	114.8361
158	114.9180
159	114.6557
160	113.3771
161	113.9016
162	111.9672
163	111.6885
164	111.6885
165	111.8197
166	111.7869
167	111.5902
168	111.8689
169	112.0656
170	112.3443
171	112.4426
172	112.9344
173	112.7541
174	113.1967
175	112.1639
176	112.4262
177	112.4426
178	113.0328
179	112.8852
180	112.0000
181	111.5574
182	111.6229
183	111.6229
184	112.6066
185	111.8525
186	112.2131
187	112.4754
188	112.4918
189	112.1148
190	113.8197
191	112.0492
192	112.7049
193	112.7541
194	112.1148
195	113.5410
196	112.1639
197	112.6393
198	111.6066
199	113.1148
200	112.7213
