X	Y
0	68.906
1	68.859
2	69.047
3	69.781
4	70.219
5	70.812
6	69.484
7	69.375
8	68.781
9	69.422
10	68.422
11	69.375
12	69.578
13	69.562
14	69.438
15	68.203
16	69.281
17	69.047
18	70.031
19	69.094
20	70.812
21	70.609
22	70.188
23	71.672
24	71.484
25	70.953
26	70.156
27	72.672
28	71.547
29	72.766
30	72.047
31	72.578
32	71.953
33	73.266
34	72.547
35	73.719
36	74.156
37	73.641
38	74.484
39	76.656
40	77.688
41	79.672
42	81.359
43	86.562
44	91.422
45	96.297
46	103.719
47	112.281
48	120.547
49	130.469
50	139.641
51	149.078
52	157.250
53	164.031
54	168.859
55	172.688
56	173.750
57	171.281
58	166.391
59	156.484
60	140.094
61	114.078
62	91.125
63	78.844
64	73.969
65	73.500
66	73.578
67	73.922
68	74.250
69	74.375
70	75.266
71	76.828
72	77.922
73	80.297
74	82.922
75	84.891
76	88.078
77	90.812
78	94.938
79	98.359
80	100.250
81	102.156
82	101.891
83	100.188
84	94.781
85	90.594
86	84.859
87	79.562
88	77.562
89	74.172
90	74.062
91	74.000
92	72.422
93	73.391
94	71.781
95	71.703
96	72.750
97	72.156
98	71.453
99	73.172
100	72.719
101	74.359
102	74.328
103	74.125
104	75.094
105	75.109
106	75.797
107	76.781
108	76.625
109	78.500
110	78.391
111	78.031
112	78.516
113	78.828
114	79.422
115	78.984
116	81.094
117	83.203
118	84.891
119	88.188
120	90.516
121	92.250
122	93.297
123	95.328
124	97.391
125	96.359
126	95.094
127	93.281
128	91.406
129	87.828
130	83.172
131	78.797
132	76.797
133	74.188
134	72.422
135	72.844
136	71.828
137	71.516
138	70.547
139	71.172
140	72.391
141	70.656
142	71.875
143	71.625
144	72.234
145	72.016
146	71.203
147	72.734
148	73.172
149	74.094
150	74.922
151	75.797
152	75.656
153	77.016
154	78.531
155	78.562
156	79.516
157	79.594
158	81.016
159	81.031
160	81.172
161	80.547
162	80.391
163	77.719
164	78.375
165	76.234
166	74.500
167	73.344
168	72.375
169	72.406
170	71.719
171	71.078
172	71.094
173	71.094
174	71.219
175	69.406
176	70.344
177	70.812
178	70.125
179	70.953
180	70.391
181	70.047
182	70.000
183	70.422
184	69.906
185	70.328
186	69.922
187	70.562
188	70.734
189	70.688
190	70.812
191	70.812
192	70.047
193	70.500
194	69.484
195	69.719
196	70.281
197	70.047
198	68.719
199	70.156
200	70.078
